time=2025-07-07T00:30:16.306+02:00 level=INFO msg="Server starting" time=2025-07-07T00:30:16+02:00
time=2025-07-07T00:30:16.306+02:00 level=INFO msg="[SERVER] Loaded config."
time=2025-07-07T00:30:16.306+02:00 level=INFO msg="[LUTRON] Lutron cache initialized"
time=2025-07-07T00:30:16.403+02:00 level=INFO msg=[WEBSOCKET] "connection established"=true
time=2025-07-07T00:30:16.818+02:00 level=INFO msg="[LUTRON] Lutron routine started"
time=2025-07-07T00:30:16.819+02:00 level=INFO msg="[BACNET] Bacnet cache initialized"
time=2025-07-07T00:30:16.818+02:00 level=INFO msg="[LUTRON] Read routine started"
time=2025-07-07T00:30:16.819+02:00 level=INFO msg="[BACNET] Bacnet routine started"
time=2025-07-07T00:30:16.822+02:00 level=INFO msg="[CYVIZ] Initialized Cyviz Cache"
time=2025-07-07T00:30:16.819+02:00 level=INFO msg="[BACNET] Read routine started"
time=2025-07-07T00:30:16.837+02:00 level=INFO msg="[CYVIZ] Cyviz routine started" roomId=4 ip=10.10.100.1:15555
time=2025-07-07T00:30:16.849+02:00 level=INFO msg="[CYVIZ] Cyviz routine started" roomId=3 ip=10.10.100.2:15555
[GIN] 2025/07/07 - 00:37:57 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/07 - 00:38:07 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/07 - 00:38:17 | 200 |       689.6µs |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/07 - 00:38:27 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/07 - 00:38:37 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/07 - 00:38:47 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/07 - 00:38:57 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/07 - 00:39:07 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/07 - 00:39:17 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/07 - 00:39:27 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/07 - 00:39:37 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/07 - 00:39:47 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/07 - 00:39:57 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/07 - 00:40:07 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/07 - 00:40:17 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/07 - 00:40:27 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/07 - 00:40:37 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/07 - 00:40:47 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/07 - 00:40:57 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/07 - 00:41:07 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/07 - 00:41:17 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
